mapping_id,source_system,source_field,source_value,standard_value,mapping_status,confidence_score,valid_from,valid_to,approved_by,approved_at
REF_JOB_LEVEL_MAPPING-0001,*,job_level,D1,D1,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0002,*,job_level,D2,D2,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0003,*,job_level,D3,D3,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0004,*,job_level,IC1,IC1,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0005,*,job_level,IC2,IC2,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0006,*,job_level,IC3,IC3,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0007,*,job_level,IC4,IC4,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0008,*,job_level,IC5,IC5,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0009,*,job_level,M1,M1,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0010,*,job_level,M2,M2,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0011,*,job_level,M3,M3,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0012,*,job_level,M4,M4,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0013,*,job_level,M5,M5,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0014,*,job_level,N1,IC1,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0015,*,job_level,N2,IC2,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0016,*,job_level,N3,IC3,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0017,*,job_level,N6,M3,APPROVED,1.0,,,people-analytics,2026-09-11
REF_JOB_LEVEL_MAPPING-0018,*,job_level,N7,M5,APPROVED,1.0,,,people-analytics,2026-09-11
