org_key,country,business_unit,department,sub_department,segment,cost_center,hc_weight,valid_from,valid_to,is_current
1,BR,Corporate,People,Talent Acquisition,corporate,CC-BR-COR-01,0.003999999999999999,2016-01-01,,true
2,BR,Corporate,People,HR Business Partner,corporate,CC-BR-COR-01,0.003999999999999999,2016-01-01,,true
3,BR,Corporate,People,Compensation & Benefits,corporate,CC-BR-COR-01,0.003999999999999999,2016-01-01,,true
4,BR,Corporate,People,People Analytics,corporate,CC-BR-COR-01,0.003999999999999999,2016-01-01,,true
5,BR,Corporate,People,Learning & Development,corporate,CC-BR-COR-01,0.003999999999999999,2016-01-01,,true
6,BR,Corporate,Finance,Controlling,corporate,CC-BR-COR-02,0.004999999999999999,2016-01-01,,true
7,BR,Corporate,Finance,Treasury,corporate,CC-BR-COR-02,0.004999999999999999,2016-01-01,,true
8,BR,Corporate,Finance,Accounting,corporate,CC-BR-COR-02,0.004999999999999999,2016-01-01,,true
9,BR,Corporate,Finance,FP&A,corporate,CC-BR-COR-02,0.004999999999999999,2016-01-01,,true
10,BR,Corporate,Legal,Corporate Legal,corporate,CC-BR-COR-03,0.006666666666666665,2016-01-01,,true
11,BR,Corporate,Legal,Compliance,corporate,CC-BR-COR-03,0.006666666666666665,2016-01-01,,true
12,BR,Corporate,Legal,Labor Legal,corporate,CC-BR-COR-03,0.006666666666666665,2016-01-01,,true
13,BR,Corporate,Marketing,Brand,corporate,CC-BR-COR-04,0.004999999999999999,2016-01-01,,true
14,BR,Corporate,Marketing,Performance,corporate,CC-BR-COR-04,0.004999999999999999,2016-01-01,,true
15,BR,Corporate,Marketing,CRM,corporate,CC-BR-COR-04,0.004999999999999999,2016-01-01,,true
16,BR,Corporate,Marketing,Content,corporate,CC-BR-COR-04,0.004999999999999999,2016-01-01,,true
17,BR,Corporate,Strategy,Corporate Strategy,corporate,CC-BR-COR-05,0.006666666666666665,2016-01-01,,true
18,BR,Corporate,Strategy,M&A,corporate,CC-BR-COR-05,0.006666666666666665,2016-01-01,,true
19,BR,Corporate,Strategy,PMO,corporate,CC-BR-COR-05,0.006666666666666665,2016-01-01,,true
20,BR,Corporate,Procurement,Indirect Procurement,corporate,CC-BR-COR-06,0.009999999999999998,2016-01-01,,true
21,BR,Corporate,Procurement,Contracts,corporate,CC-BR-COR-06,0.009999999999999998,2016-01-01,,true
22,BR,Corporate,Risk,Internal Audit,corporate,CC-BR-COR-07,0.006666666666666665,2016-01-01,,true
23,BR,Corporate,Risk,Risk Management,corporate,CC-BR-COR-07,0.006666666666666665,2016-01-01,,true
24,BR,Corporate,Risk,Fraud,corporate,CC-BR-COR-07,0.006666666666666665,2016-01-01,,true
25,BR,Corporate,Data & Analytics,Business Intelligence,corporate,CC-BR-COR-08,0.009999999999999998,2016-01-01,,true
26,BR,Corporate,Data & Analytics,Data Governance,corporate,CC-BR-COR-08,0.009999999999999998,2016-01-01,,true
27,BR,Digital,Engineering,Platform,digital,CC-BR-DIG-01,0.0031111111111111105,2016-01-01,,true
28,BR,Digital,Engineering,Backend,digital,CC-BR-DIG-01,0.0031111111111111105,2016-01-01,,true
29,BR,Digital,Engineering,Frontend,digital,CC-BR-DIG-01,0.0031111111111111105,2016-01-01,,true
30,BR,Digital,Engineering,Mobile,digital,CC-BR-DIG-01,0.0031111111111111105,2016-01-01,,true
31,BR,Digital,Engineering,SRE,digital,CC-BR-DIG-01,0.0031111111111111105,2016-01-01,,true
32,BR,Digital,Product,Product Management,digital,CC-BR-DIG-02,0.007777777777777777,2016-01-01,,true
33,BR,Digital,Product,Product Ops,digital,CC-BR-DIG-02,0.007777777777777777,2016-01-01,,true
34,BR,Digital,Data,Data Engineering,digital,CC-BR-DIG-03,0.005185185185185184,2016-01-01,,true
35,BR,Digital,Data,Data Science,digital,CC-BR-DIG-03,0.005185185185185184,2016-01-01,,true
36,BR,Digital,Data,Analytics Engineering,digital,CC-BR-DIG-03,0.005185185185185184,2016-01-01,,true
37,BR,Digital,UX,Product Design,digital,CC-BR-DIG-04,0.005185185185185184,2016-01-01,,true
38,BR,Digital,UX,Research,digital,CC-BR-DIG-04,0.005185185185185184,2016-01-01,,true
39,BR,Digital,UX,Design System,digital,CC-BR-DIG-04,0.005185185185185184,2016-01-01,,true
40,BR,Digital,E-commerce,Storefront,digital,CC-BR-DIG-05,0.005185185185185184,2016-01-01,,true
41,BR,Digital,E-commerce,Checkout,digital,CC-BR-DIG-05,0.005185185185185184,2016-01-01,,true
42,BR,Digital,E-commerce,Catalog,digital,CC-BR-DIG-05,0.005185185185185184,2016-01-01,,true
43,BR,Digital,Digital Marketing,SEO,digital,CC-BR-DIG-06,0.005185185185185184,2016-01-01,,true
44,BR,Digital,Digital Marketing,Paid Media,digital,CC-BR-DIG-06,0.005185185185185184,2016-01-01,,true
45,BR,Digital,Digital Marketing,Lifecycle,digital,CC-BR-DIG-06,0.005185185185185184,2016-01-01,,true
46,BR,Retail,Store Operations,Store Management,retail_ops,CC-BR-RET-01,0.026249999999999992,2016-01-01,,true
47,BR,Retail,Store Operations,Cashier,retail_ops,CC-BR-RET-01,0.026249999999999992,2016-01-01,,true
48,BR,Retail,Store Operations,Stockroom,retail_ops,CC-BR-RET-01,0.026249999999999992,2016-01-01,,true
49,BR,Retail,Store Operations,Security,retail_ops,CC-BR-RET-01,0.026249999999999992,2016-01-01,,true
50,BR,Retail,Sales,Floor Sales,retail_ops,CC-BR-RET-02,0.052499999999999984,2016-01-01,,true
51,BR,Retail,Sales,Key Accounts,retail_ops,CC-BR-RET-02,0.052499999999999984,2016-01-01,,true
52,BR,Retail,Regional Operations,Region North,retail_ops,CC-BR-RET-03,0.03499999999999999,2016-01-01,,true
53,BR,Retail,Regional Operations,Region Southeast,retail_ops,CC-BR-RET-03,0.03499999999999999,2016-01-01,,true
54,BR,Retail,Regional Operations,Region South,retail_ops,CC-BR-RET-03,0.03499999999999999,2016-01-01,,true
55,BR,Retail,Visual Merchandising,Store Design,retail_ops,CC-BR-RET-04,0.052499999999999984,2016-01-01,,true
56,BR,Retail,Visual Merchandising,Merchandising,retail_ops,CC-BR-RET-04,0.052499999999999984,2016-01-01,,true
57,BR,Supply Chain,Logistics,Transportation,supply,CC-BR-SUP-01,0.012499999999999995,2016-01-01,,true
58,BR,Supply Chain,Logistics,Last Mile,supply,CC-BR-SUP-01,0.012499999999999995,2016-01-01,,true
59,BR,Supply Chain,Logistics,Reverse Logistics,supply,CC-BR-SUP-01,0.012499999999999995,2016-01-01,,true
60,BR,Supply Chain,Distribution Centers,Inbound,supply,CC-BR-SUP-02,0.012499999999999995,2016-01-01,,true
