employee_id,event_date,event_type,detail
1,2009-05-01,INITIAL,initial
2,2014-02-01,INITIAL,initial
3,2012-09-01,INITIAL,initial
4,2013-11-01,INITIAL,initial
5,2015-05-01,INITIAL,initial
6,2014-06-01,INITIAL,initial
7,2015-08-01,INITIAL,initial
8,2015-11-01,INITIAL,initial
9,2009-07-01,INITIAL,initial
10,2015-04-01,INITIAL,initial
11,2014-02-01,INITIAL,initial
12,2010-01-01,INITIAL,initial
13,2013-01-01,INITIAL,initial
14,2015-06-01,INITIAL,initial
15,2016-01-01,INITIAL,initial
16,2014-10-01,INITIAL,initial
17,2015-04-01,INITIAL,initial
18,2014-05-01,INITIAL,initial
19,2015-01-01,INITIAL,initial
20,2011-11-01,INITIAL,initial
21,2011-06-01,INITIAL,initial
22,2013-06-01,INITIAL,initial
23,2006-02-01,INITIAL,initial
24,2010-12-01,INITIAL,initial
25,2015-02-01,INITIAL,initial
26,2006-04-01,INITIAL,initial
27,2014-11-01,INITIAL,initial
28,2008-03-01,INITIAL,initial
29,2013-07-01,INITIAL,initial
30,2013-09-01,INITIAL,initial
31,2012-05-01,INITIAL,initial
32,2014-05-01,INITIAL,initial
33,2015-06-01,INITIAL,initial
34,2007-02-01,INITIAL,initial
35,2013-05-01,INITIAL,initial
36,2014-12-01,INITIAL,initial
37,2014-05-01,INITIAL,initial
38,2014-09-01,INITIAL,initial
39,2014-05-01,INITIAL,initial
40,2015-02-01,INITIAL,initial
41,2014-08-01,INITIAL,initial
42,2015-08-01,INITIAL,initial
43,2010-08-01,INITIAL,initial
44,2015-04-01,INITIAL,initial
45,2015-01-01,INITIAL,initial
46,2009-11-01,INITIAL,initial
47,2001-08-01,INITIAL,initial
48,2007-02-01,INITIAL,initial
49,1994-05-01,INITIAL,initial
50,2013-04-01,INITIAL,initial
51,2016-01-01,INITIAL,initial
52,2014-10-01,INITIAL,initial
53,2015-11-01,INITIAL,initial
54,2010-05-01,INITIAL,initial
55,2013-04-01,INITIAL,initial
56,2005-12-01,INITIAL,initial
57,2011-08-01,INITIAL,initial
58,2015-09-01,INITIAL,initial
59,2004-12-01,INITIAL,initial
60,2011-01-01,INITIAL,initial
61,2012-03-01,INITIAL,initial
62,2015-12-01,INITIAL,initial
63,2015-08-01,INITIAL,initial
64,2007-12-01,INITIAL,initial
65,2013-02-01,INITIAL,initial
66,2011-12-01,INITIAL,initial
67,2013-04-01,INITIAL,initial
68,2013-06-01,INITIAL,initial
69,2015-04-01,INITIAL,initial
70,2015-09-01,INITIAL,initial
71,2015-03-01,INITIAL,initial
72,2015-07-01,INITIAL,initial
73,2015-04-01,INITIAL,initial
74,2016-01-01,INITIAL,initial
75,2015-04-01,INITIAL,initial
76,2015-09-01,INITIAL,initial
77,2015-10-01,INITIAL,initial
78,2014-02-01,INITIAL,initial
79,2015-11-01,INITIAL,initial
80,2013-03-01,INITIAL,initial
81,2015-12-01,INITIAL,initial
82,2013-03-01,INITIAL,initial
83,2011-02-01,INITIAL,initial
84,2014-12-01,INITIAL,initial
85,2013-10-01,INITIAL,initial
86,2014-05-01,INITIAL,initial
87,2014-08-01,INITIAL,initial
88,2015-04-01,INITIAL,initial
89,2014-01-01,INITIAL,initial
90,2011-08-01,INITIAL,initial
91,2013-02-01,INITIAL,initial
92,2014-07-01,INITIAL,initial
93,2015-09-01,INITIAL,initial
94,2016-01-01,INITIAL,initial
95,2011-09-01,INITIAL,initial
96,2013-08-01,INITIAL,initial
97,2013-12-01,INITIAL,initial
98,2014-04-01,INITIAL,initial
99,2015-09-01,INITIAL,initial
100,2011-09-01,INITIAL,initial
101,2012-10-01,INITIAL,initial
102,2014-04-01,INITIAL,initial
103,2015-10-01,INITIAL,initial
104,2015-01-01,INITIAL,initial
105,2007-10-01,INITIAL,initial
106,2015-01-01,INITIAL,initial
107,2015-11-01,INITIAL,initial
108,2015-04-01,INITIAL,initial
109,2012-06-01,INITIAL,initial
110,2016-01-01,INITIAL,initial
111,2013-09-01,INITIAL,initial
112,2014-03-01,INITIAL,initial
113,2011-10-01,INITIAL,initial
114,2013-03-01,INITIAL,initial
115,2010-11-01,INITIAL,initial
116,2011-09-01,INITIAL,initial
117,1995-03-01,INITIAL,initial
118,2010-03-01,INITIAL,initial
119,2015-10-01,INITIAL,initial
120,2011-02-01,INITIAL,initial
121,2012-08-01,INITIAL,initial
122,2014-10-01,INITIAL,initial
123,2016-01-01,INITIAL,initial
124,2015-04-01,INITIAL,initial
125,2014-03-01,INITIAL,initial
126,2015-05-01,INITIAL,initial
127,2014-05-01,INITIAL,initial
128,1997-08-01,INITIAL,initial
129,2015-12-01,INITIAL,initial
130,2014-12-01,INITIAL,initial
131,2015-07-01,INITIAL,initial
132,2013-06-01,INITIAL,initial
133,2009-09-01,INITIAL,initial
134,2014-05-01,INITIAL,initial
135,2015-07-01,INITIAL,initial
136,2014-05-01,INITIAL,initial
137,2011-12-01,INITIAL,initial
138,2015-03-01,INITIAL,initial
139,2013-06-01,INITIAL,initial
140,2012-05-01,INITIAL,initial
141,2014-06-01,INITIAL,initial
142,2014-03-01,INITIAL,initial
143,2015-06-01,INITIAL,initial
144,2014-03-01,INITIAL,initial
145,2003-10-01,INITIAL,initial
146,2015-11-01,INITIAL,initial
147,2015-08-01,INITIAL,initial
148,2014-12-01,INITIAL,initial
149,2013-03-01,INITIAL,initial
150,2012-01-01,INITIAL,initial
151,2015-06-01,INITIAL,initial
152,2012-04-01,INITIAL,initial
153,2015-07-01,INITIAL,initial
154,2015-09-01,INITIAL,initial
155,2013-09-01,INITIAL,initial
156,2013-10-01,INITIAL,initial
157,2014-10-01,INITIAL,initial
158,2015-07-01,INITIAL,initial
159,2011-05-01,INITIAL,initial
160,2007-03-01,INITIAL,initial
161,2015-12-01,INITIAL,initial
162,2014-10-01,INITIAL,initial
163,2013-03-01,INITIAL,initial
164,2013-11-01,INITIAL,initial
165,2012-11-01,INITIAL,initial
166,2016-01-01,INITIAL,initial
167,2015-07-01,INITIAL,initial
168,2008-05-01,INITIAL,initial
169,2015-10-01,INITIAL,initial
170,2015-07-01,INITIAL,initial
171,2016-01-01,INITIAL,initial
172,2009-10-01,INITIAL,initial
173,2010-10-01,INITIAL,initial
174,2012-10-01,INITIAL,initial
