requisition_id,candidate_id,employee_id,application_date,screening_date,interview_date,offer_date,hire_date,offer_accepted_flag,candidate_source,internal_external
REQ0000001,CAND00000001,381,2015-12-07,2015-12-18,2015-12-25,2015-12-30,2016-01-03,true,LinkedIn,External
REQ0000001,CAND00000002,,2015-12-02,,,,,false,Internal Mobility,Internal
REQ0000001,CAND00000003,,2015-12-03,,,,,false,Job Board,External
REQ0000001,CAND00000004,,2015-12-07,,,,,false,Agency,External
REQ0000001,CAND00000005,,2015-12-22,,,,,false,LinkedIn,External
REQ0000002,CAND00000006,382,2015-12-27,2015-12-29,2016-01-01,2016-01-03,2016-01-11,true,Career Site,External
REQ0000002,CAND00000007,,2015-12-20,2015-12-28,,,,false,LinkedIn,External
REQ0000002,CAND00000008,,2015-12-12,,,,,false,LinkedIn,External
REQ0000002,CAND00000009,,2015-12-13,,,,,false,Job Board,External
REQ0000002,CAND00000010,,2015-12-30,2016-01-04,,,,false,LinkedIn,External
REQ0000002,CAND00000011,,2015-12-16,,,,,false,Job Board,External
REQ0000002,CAND00000012,,2015-12-23,2015-12-29,2016-01-08,2016-01-11,,false,Job Board,External
REQ0000002,CAND00000013,,2015-12-21,2015-12-23,,,,false,Referral,External
REQ0000002,CAND00000014,,2015-12-10,,,,,false,Referral,External
REQ0000002,CAND00000015,,2015-12-18,2015-12-24,,,,false,Job Board,External
REQ0000002,CAND00000016,,2016-01-06,,,,,false,Job Board,External
REQ0000002,CAND00000017,,2015-12-30,,,,,false,Career Site,External
REQ0000002,CAND00000018,,2015-12-15,2015-12-25,,,,false,Referral,External
REQ0000002,CAND00000019,,2016-01-06,,,,,false,LinkedIn,External
REQ0000002,CAND00000020,,2015-12-30,,,,,false,LinkedIn,External
REQ0000002,CAND00000021,,2015-12-19,,,,,false,Referral,External
REQ0000002,CAND00000022,,2016-01-15,,,,,false,Referral,External
REQ0000002,CAND00000023,,2015-12-17,2015-12-29,2016-01-06,,,false,Referral,External
REQ0000003,CAND00000024,383,2015-12-05,2015-12-11,2015-12-15,2015-12-24,2016-01-12,true,Walk-in,External
REQ0000003,CAND00000025,,2015-12-03,,,,,false,Career Site,External
REQ0000003,CAND00000026,,2015-12-08,,,,,false,Internal Mobility,Internal
REQ0000003,CAND00000027,,2015-11-28,2015-11-30,,,,false,Job Board,External
REQ0000003,CAND00000028,,2015-12-09,,,,,false,Career Site,External
REQ0000003,CAND00000029,,2015-11-22,,,,,false,Referral,External
REQ0000003,CAND00000030,,2015-12-15,,,,,false,Walk-in,External
REQ0000003,CAND00000031,,2015-12-13,2015-12-14,,,,false,Job Board,External
REQ0000003,CAND00000032,,2015-11-25,2015-12-01,,,,false,Agency,External
REQ0000003,CAND00000033,,2015-11-18,,,,,false,Job Board,External
REQ0000004,CAND00000034,384,2015-11-08,2015-11-24,2015-12-09,2015-12-21,2016-01-08,true,Job Board,External
REQ0000004,CAND00000035,,2015-11-02,,,,,false,Job Board,External
REQ0000004,CAND00000036,,2015-11-21,,,,,false,Career Site,External
REQ0000004,CAND00000037,,2015-11-02,,,,,false,Job Board,External
REQ0000004,CAND00000038,,2015-11-20,,,,,false,Referral,External
REQ0000004,CAND00000039,,2015-10-22,2015-11-06,2015-11-22,,,false,Agency,External
REQ0000004,CAND00000040,,2015-11-17,,,,,false,Job Board,External
REQ0000004,CAND00000041,,2015-10-23,,,,,false,Agency,External
REQ0000004,CAND00000042,,2015-11-06,,,,,false,Job Board,External
REQ0000004,CAND00000043,,2015-11-16,2015-12-05,,,,false,Agency,External
REQ0000004,CAND00000044,,2015-11-19,,,,,false,Job Board,External
REQ0000004,CAND00000045,,2015-11-19,,,,,false,Walk-in,External
REQ0000004,CAND00000046,,2015-10-28,,,,,false,Job Board,External
REQ0000004,CAND00000047,,2015-11-05,,,,,false,Referral,External
REQ0000004,CAND00000048,,2015-10-21,2015-10-30,,,,false,Walk-in,External
REQ0000004,CAND00000049,,2015-11-25,,,,,false,Agency,External
REQ0000005,CAND00000050,385,2015-11-18,2015-12-06,2015-12-21,2015-12-28,2016-01-04,true,Job Board,External
REQ0000006,CAND00000051,386,2015-11-16,2015-11-22,2015-11-28,2015-12-08,2016-01-02,true,Career Site,External
REQ0000006,CAND00000052,,2015-11-08,2015-11-18,,,,false,LinkedIn,External
REQ0000006,CAND00000053,,2015-11-29,,,,,false,Job Board,External
REQ0000006,CAND00000054,,2015-11-13,,,,,false,Job Board,External
REQ0000006,CAND00000055,,2015-11-20,,,,,false,Job Board,External
REQ0000006,CAND00000056,,2015-11-11,,,,,false,Job Board,External
REQ0000006,CAND00000057,,2015-12-01,,,,,false,Agency,External
REQ0000006,CAND00000058,,2015-11-15,2015-11-17,2015-11-24,,,false,LinkedIn,External
REQ0000006,CAND00000059,,2015-11-15,2015-11-26,2015-11-28,,,false,Job Board,External
REQ0000006,CAND00000060,,2015-10-28,,,,,false,Walk-in,External
REQ0000006,CAND00000061,,2015-11-23,2015-11-27,,,,false,LinkedIn,External
REQ0000006,CAND00000062,,2015-12-03,,,,,false,Referral,External
REQ0000006,CAND00000063,,2015-10-31,,,,,false,Career Site,External
REQ0000006,CAND00000064,,2015-11-11,,,,,false,LinkedIn,External
REQ0000006,CAND00000065,,2015-11-05,,,,,false,LinkedIn,External
REQ0000006,CAND00000066,,2015-12-05,,,,,false,Walk-in,External
REQ0000006,CAND00000067,,2015-11-27,,,,,false,Internal Mobility,Internal
REQ0000007,CAND00000068,387,2015-12-03,2015-12-06,2015-12-17,2015-12-23,2016-01-01,true,Internal Mobility,Internal
REQ0000007,CAND00000069,,2015-11-15,2015-11-25,,,,false,Job Board,External
REQ0000007,CAND00000070,,2015-11-27,,,,,false,Referral,External
REQ0000007,CAND00000071,,2015-12-01,,,,,false,Internal Mobility,Internal
REQ0000007,CAND00000072,,2015-12-21,2015-12-31,,,,false,Internal Mobility,Internal
REQ0000007,CAND00000073,,2015-11-17,2015-11-29,2015-12-01,,,false,Agency,External
REQ0000007,CAND00000074,,2015-11-16,,,,,false,Agency,External
REQ0000007,CAND00000075,,2015-12-16,,,,,false,Internal Mobility,Internal
REQ0000007,CAND00000076,,2015-12-12,,,,,false,Job Board,External
REQ0000007,CAND00000077,,2015-12-06,,,,,false,Job Board,External
REQ0000007,CAND00000078,,2015-12-18,,,,,false,LinkedIn,External
REQ0000007,CAND00000079,,2015-12-23,,,,,false,Referral,External
REQ0000007,CAND00000080,,2015-11-13,,,,,false,Agency,External
REQ0000007,CAND00000081,,2015-12-20,,,,,false,LinkedIn,External
REQ0000007,CAND00000082,,2015-11-22,,,,,false,Referral,External
REQ0000007,CAND00000083,,2015-12-03,,,,,false,Career Site,External
