employee_id,effective_date,base_salary,currency,change_reason,job_level,country,department,band_mid
1,2009-05-01,1865.59,BRL,Hire,IC1,BR,Regional Operations,2024.0
2,2014-02-01,3423.31,BRL,Hire,IC3,BR,Distribution Centers,3663.0
3,2012-09-01,2177.77,BRL,Hire,IC1,BR,Distribution Centers,1980.0
4,2013-11-01,2173.62,BRL,Hire,IC2,BR,Customer Service,2613.6
5,2015-05-01,2250.05,BRL,Hire,IC2,BR,Regional Operations,2732.4
6,2014-06-01,4173.38,BRL,Hire,IC3,BR,Product,4558.4
7,2015-08-01,3121.88,BRL,Hire,IC2,BR,Sales,2970.0
8,2015-11-01,5479.47,BRL,Hire,M2,BR,Digital Marketing,6600.0
9,2009-07-01,3520.79,BRL,Hire,IC3,BR,Planning,4070.0
10,2015-04-01,8459.32,BRL,Hire,M3,BR,Procurement,9240.0
11,2014-02-01,2728.69,BRL,Hire,IC2,BR,Visual Merchandising,3118.5
12,2010-01-01,3138.1,BRL,Hire,IC2,BR,Regional Operations,2970.0
13,2013-01-01,1985.89,BRL,Hire,IC1,BR,Sales,2200.0
14,2015-06-01,8567.57,BRL,Hire,M3,BR,Visual Merchandising,8500.8
15,2016-01-01,2662.48,BRL,Hire,IC1,BR,Sales,2200.0
16,2014-10-01,1647.4,BRL,Hire,IC1,BR,Customer Experience,1936.0
17,2015-04-01,2139.28,BRL,Hire,IC1,BR,Sales,2200.0
18,2014-05-01,2601.75,BRL,Hire,IC2,BR,Regional Operations,2970.0
19,2015-01-01,3090.97,BRL,Hire,IC2,BR,Logistics,2970.0
20,2011-11-01,2138.53,BRL,Hire,IC1,BR,Distribution Centers,1980.0
21,2011-06-01,2269.41,BRL,Hire,IC2,BR,Store Operations,2732.4
22,2013-06-01,2201.63,BRL,Hire,IC1,BR,Legal,2200.0
23,2006-02-01,2454.46,BRL,Hire,IC1,BR,Sales,2200.0
24,2010-12-01,2909.65,BRL,Hire,IC2,BR,Sales,2970.0
25,2015-02-01,2446.87,BRL,Hire,IC1,BR,Visual Merchandising,2024.0
26,2006-04-01,2967.67,BRL,Hire,IC2,BR,Sales,2970.0
27,2014-11-01,3664.38,BRL,Hire,IC3,BR,Finance,4070.0
28,2008-03-01,1704.82,BRL,Hire,IC1,BR,Finance,2200.0
29,2013-07-01,5543.34,BRL,Hire,IC4,BR,Strategy,5610.0
30,2013-09-01,1476.26,BRL,Hire,IC1,BR,Customer Operations,1936.0
31,2012-05-01,3120.3,BRL,Hire,IC2,BR,Regional Operations,2732.4
32,2014-05-01,2783.77,BRL,Hire,IC2,BR,Visual Merchandising,2732.4
33,2015-06-01,2248.9,BRL,Hire,IC1,BR,Sales,2200.0
34,2007-02-01,4237.79,BRL,Hire,IC3,BR,Regional Operations,4070.0
35,2013-05-01,2978.41,BRL,Hire,IC2,BR,Regional Operations,2732.4
36,2014-12-01,1425.6,BRL,Hire,IC1,BR,Distribution Centers,1980.0
37,2014-05-01,2295.91,BRL,Hire,IC1,BR,Visual Merchandising,2310.0
38,2014-09-01,3355.78,BRL,Hire,IC2,BR,Logistics,2970.0
39,2014-05-01,1867.81,BRL,Hire,IC1,BR,Customer Service,1936.0
40,2015-02-01,2267.35,BRL,Hire,IC1,BR,Customer Operations,2200.0
41,2014-08-01,2246.0,BRL,Hire,IC1,BR,Visual Merchandising,2024.0
42,2015-08-01,2953.86,BRL,Hire,IC2,BR,Sales,2970.0
43,2010-08-01,1872.55,BRL,Hire,IC1,BR,Distribution Centers,1980.0
44,2015-04-01,2411.41,BRL,Hire,IC1,BR,Regional Operations,2200.0
45,2015-01-01,5850.6,BRL,Hire,IC4,BR,Procurement,5610.0
46,2009-11-01,1894.44,BRL,Hire,IC1,BR,Procurement,2200.0
47,2001-08-01,2128.9,BRL,Hire,IC1,BR,Procurement,2200.0
48,2007-02-01,2329.24,BRL,Hire,IC2,BR,Distribution Centers,2673.0
49,1994-05-01,1724.55,BRL,Hire,IC1,BR,Procurement,2200.0
50,2013-04-01,2487.2,BRL,Hire,IC1,BR,Data & Analytics,2530.0
51,2016-01-01,1984.97,BRL,Hire,IC1,BR,Customer Service,1936.0
52,2014-10-01,1758.54,BRL,Hire,IC1,BR,Visual Merchandising,2024.0
53,2015-11-01,2813.19,BRL,Hire,IC2,BR,Customer Service,2613.6
54,2010-05-01,2399.75,BRL,Hire,IC1,BR,People,2200.0
55,2013-04-01,2954.65,BRL,Hire,IC2,BR,Legal,2970.0
56,2005-12-01,2034.94,BRL,Hire,IC1,BR,Regional Operations,2200.0
57,2011-08-01,1986.81,BRL,Hire,IC1,BR,People,2200.0
58,2015-09-01,2736.25,BRL,Hire,IC2,BR,Digital Marketing,2970.0
59,2004-12-01,2062.91,BRL,Hire,IC1,BR,Strategy,2200.0
60,2011-01-01,5440.89,BRL,Hire,IC4,BR,Marketing,5610.0
