employee_id,survey_date,survey_cycle,engagement_score,eNPS,manager_score,belonging_score,response_flag,country,department,business_unit,job_level,manager_id
1,2017-09-15,2017,3.6777813508402852,5.0,3.4013996675014067,3.698684041079211,1,BR,Regional Operations,Retail,IC1,12
3,2017-09-15,2017,3.651071425821636,5.0,3.5993418039264777,3.7953073008226315,1,BR,Distribution Centers,Supply Chain,IC1,48
6,2017-09-15,2017,3.6312458307489277,5.0,3.954258411664656,4.5762707448350435,1,BR,Product,Digital,IC3,192
8,2017-09-15,2017,3.574837890449689,5.0,2.559446834020796,3.4436402833541035,1,BR,Digital Marketing,Digital,M2,121
9,2017-09-15,2017,,,,,0,BR,Planning,Supply Chain,IC3,335
10,2017-09-15,2017,3.0430687928229796,5.0,3.1526169252028464,2.2493896909892035,1,BR,Procurement,Supply Chain,M4,309
11,2017-09-15,2017,3.914010282574523,5.0,4.431729684013074,3.3419065469777287,1,BR,Visual Merchandising,Retail,IC2,273
12,2017-09-15,2017,3.4335907901704066,5.0,3.6914345506020028,3.8514825086744686,1,BR,Regional Operations,Retail,IC3,98
13,2017-09-15,2017,2.974143772178261,5.0,3.1381603638698574,2.328548728705046,1,BR,Regional Operations,Retail,IC1,174
14,2017-09-15,2017,3.8926522463269118,5.0,3.8092308502983405,5.0,1,BR,Marketing,Corporate,M3,309
16,2017-09-15,2017,3.647673759201577,5.0,2.12027844546186,3.647534882671805,1,BR,Customer Experience,Customer,IC1,90
17,2017-09-15,2017,4.22514807402457,5.0,3.958062336424776,3.9422734291693184,1,BR,Sales,Retail,IC1,26
18,2017-09-15,2017,,,,,0,BR,Regional Operations,Retail,IC3,98
20,2017-09-15,2017,,,,,0,BR,Distribution Centers,Supply Chain,IC1,48
21,2017-09-15,2017,3.918852981429331,5.0,2.219270256334436,3.9638485971742266,1,BR,Sales,Retail,IC2,585
24,2017-09-15,2017,3.2404408371910987,5.0,3.435019400987914,4.1214377721339375,1,BR,Sales,Retail,IC2,585
26,2017-09-15,2017,,,,,0,BR,Sales,Retail,IC2,585
27,2017-09-15,2017,3.1058180265560864,5.0,3.4457424642400936,2.971264495407088,1,BR,Finance,Corporate,IC3,29
28,2017-09-15,2017,3.1522501424951583,5.0,4.579265539849972,2.7617698893849414,1,BR,Finance,Corporate,IC2,630
29,2017-09-15,2017,4.3261417737015995,10.0,4.479612595905141,4.230307635362726,1,BR,Strategy,Corporate,IC5,193
