employee_id,course_id,course_category,enrollment_date,completion_date,completion_status,learning_hours,mandatory_flag,country,department,job_level
3,CRS-COM-031,Compliance,2018-03-03,2018-03-06,Completed,3.5,true,BR,Distribution Centers,IC1
8,CRS-MAN-015,Management,2018-03-22,,In Progress,9.7,false,BR,Digital Marketing,M2
8,CRS-MAN-035,Management,2018-03-01,2018-03-24,Completed,6.4,false,BR,Digital Marketing,M2
12,CRS-FUN-017,Functional Skills,2018-03-16,,In Progress,23.1,false,BR,Regional Operations,IC3
13,CRS-FUN-018,Functional Skills,2018-03-27,2018-05-11,Completed,21.3,false,BR,Regional Operations,IC1
14,CRS-TEC-035,Technology,2018-03-10,2018-03-28,Completed,45.0,false,BR,Marketing,M3
16,CRS-FUN-022,Functional Skills,2018-03-17,,In Progress,15.3,false,BR,Customer Experience,IC1
16,CRS-CUS-038,Customer,2018-03-16,,In Progress,4.4,false,BR,Customer Experience,IC1
17,CRS-SAF-024,Safety,2018-03-25,2018-04-12,Completed,2.0,true,BR,Sales,IC1
30,CRS-FUN-016,Functional Skills,2018-03-27,,In Progress,14.9,false,BR,Customer Operations,IC1
32,CRS-COM-021,Compliance,2018-03-13,2018-03-27,Completed,2.2,true,BR,Visual Merchandising,IC2
32,CRS-CUS-025,Customer,2018-03-28,,In Progress,4.5,false,BR,Visual Merchandising,IC2
36,CRS-COM-030,Compliance,2018-03-14,2018-05-07,Completed,1.3,true,BR,Distribution Centers,IC1
36,CRS-COM-008,Compliance,2018-03-19,2018-04-05,Completed,2.0,true,BR,Distribution Centers,IC1
42,CRS-FUN-011,Functional Skills,2018-03-27,2018-04-17,Completed,2.1,false,BR,Sales,IC2
46,CRS-FUN-016,Functional Skills,2018-03-21,2018-05-14,Completed,21.2,false,BR,Procurement,IC1
48,CRS-COM-034,Compliance,2018-03-16,2018-03-28,Completed,3.3,true,BR,Distribution Centers,IC3
55,CRS-TEC-035,Technology,2018-03-06,2018-04-24,Completed,21.4,false,BR,Legal,IC2
57,CRS-COM-034,Compliance,2018-03-28,2018-04-14,Completed,1.7,true,BR,People,IC2
59,CRS-FUN-022,Functional Skills,2018-03-27,2018-05-11,Completed,21.4,false,BR,Strategy,IC1
60,CRS-TEC-022,Technology,2018-03-22,2018-04-04,Completed,35.7,false,BR,Marketing,IC4
63,CRS-COM-038,Compliance,2018-03-02,2018-03-19,Completed,2.7,true,BR,Distribution Centers,IC1
64,CRS-COM-003,Compliance,2018-03-10,2018-05-16,Completed,2.2,true,BR,Sales,IC1
66,CRS-CUS-005,Customer,2018-03-14,2018-04-14,Completed,6.1,false,BR,Store Operations,IC2
69,CRS-COM-023,Compliance,2018-03-11,2018-04-17,Completed,1.1,true,BR,Logistics,IC2
72,CRS-COM-017,Compliance,2018-03-27,2018-05-12,Completed,1.4,true,BR,Risk,IC1
76,CRS-COM-025,Compliance,2018-03-15,2018-04-04,Completed,2.4,true,BR,People,IC1
77,CRS-SAF-035,Safety,2018-03-14,,In Progress,4.2,true,BR,Store Operations,IC2
89,CRS-TEC-018,Technology,2018-03-09,,In Progress,46.4,false,BR,Finance,IC3
105,CRS-COM-015,Compliance,2018-03-16,2018-03-24,Completed,2.1,true,BR,Finance,IC1
106,CRS-TEC-039,Technology,2018-03-06,,In Progress,28.6,false,BR,E-commerce,IC2
115,CRS-COM-014,Compliance,2018-03-21,2018-04-09,Completed,1.8,true,BR,Regional Operations,IC2
117,CRS-FUN-038,Functional Skills,2018-03-28,2018-04-24,Completed,15.5,false,BR,Risk,IC2
128,CRS-SAF-026,Safety,2018-03-05,2018-04-07,Completed,3.2,true,BR,Sales,IC2
138,CRS-COM-031,Compliance,2018-03-16,2018-04-29,Completed,3.9,true,BR,Procurement,IC3
148,CRS-SAF-018,Safety,2018-03-19,2018-05-02,Completed,3.7,true,BR,Planning,IC1
150,CRS-FUN-008,Functional Skills,2018-03-15,2018-04-22,Completed,14.8,false,BR,Customer Service,IC1
153,CRS-TEC-009,Technology,2018-03-27,2018-04-05,Completed,34.7,false,BR,Data,M1
160,CRS-FUN-039,Functional Skills,2018-03-17,2018-04-15,Completed,7.6,false,BR,Sales,IC2
162,CRS-FUN-007,Functional Skills,2018-03-09,,In Progress,12.5,false,BR,Sales,IC5
166,CRS-SAF-022,Safety,2018-03-23,2018-05-02,Completed,4.4,true,BR,Distribution Centers,IC2
182,CRS-CUS-023,Customer,2018-03-03,2018-03-23,Completed,9.7,false,BR,Store Operations,IC1
