employee_id,review_cycle,review_date,performance_rating_recorded,performance_rating_std,scale_type,potential_rating,promotion_ready_flag,manager_id,job_level,country,department,business_unit
1,2016,2016-11-20,1,Below Expectations,numeric,Medium,false,5,IC1,BR,Regional Operations,Retail
3,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,48,IC1,BR,Distribution Centers,Supply Chain
4,2016,2016-11-20,2,Developing,numeric,Medium,false,171,IC2,BR,Customer Service,Customer
5,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,34,IC2,BR,Regional Operations,Retail
6,2016,2016-11-20,5,Outstanding,numeric,High,false,192,IC3,BR,Product,Digital
7,2016,2016-11-20,2,Developing,numeric,Medium,false,144,IC2,BR,Sales,Retail
8,2016,2016-11-20,3,Meets Expectations,numeric,Low,true,121,M2,BR,Digital Marketing,Digital
9,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,335,IC3,BR,Planning,Supply Chain
10,2016,2016-11-20,4,Exceeds Expectations,numeric,High,false,212,M3,BR,Procurement,Supply Chain
11,2016,2016-11-20,2,Developing,numeric,High,false,273,IC2,BR,Visual Merchandising,Retail
12,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,true,34,IC2,BR,Regional Operations,Retail
13,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,174,IC1,BR,Regional Operations,Retail
14,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,309,M3,BR,Marketing,Corporate
15,2016,2016-11-20,3,Meets Expectations,numeric,High,false,24,IC1,BR,Sales,Retail
16,2016,2016-11-20,2,Developing,numeric,High,false,90,IC1,BR,Customer Experience,Customer
17,2016,2016-11-20,3,Meets Expectations,numeric,Medium,false,26,IC1,BR,Sales,Retail
18,2016,2016-11-20,4,Exceeds Expectations,numeric,Low,false,98,IC3,BR,Regional Operations,Retail
19,2016,2016-11-20,3,Meets Expectations,numeric,Medium,true,260,IC2,BR,Logistics,Supply Chain
20,2016,2016-11-20,3,Meets Expectations,numeric,Low,false,48,IC1,BR,Distribution Centers,Supply Chain
21,2016,2016-11-20,3,Meets Expectations,numeric,High,false,129,IC2,BR,Store Operations,Retail
22,2016,2016-11-20,2,Developing,numeric,Low,false,55,IC1,BR,Legal,Corporate
23,2016,2016-11-20,3,Meets Expectations,numeric,High,false,42,IC1,BR,Sales,Retail
