country,job_level,job_family,currency,band_min,band_mid,band_max,valid_from,valid_to
BR,IC1,Software Engineering,BRL,2076.8,2596.0,3115.2,2016-01-01,
BR,IC1,Data,BRL,2024.0,2530.0,3036.0,2016-01-01,
BR,IC1,Product Management,BRL,1971.2,2464.0,2956.8,2016-01-01,
BR,IC1,Design,BRL,1848.0,2310.0,2772.0,2016-01-01,
BR,IC1,Store Operations,BRL,1619.2,2024.0,2428.8,2016-01-01,
BR,IC1,Sales,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC1,Logistics,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC1,Warehouse,BRL,1584.0,1980.0,2376.0,2016-01-01,
BR,IC1,Customer Support,BRL,1548.8,1936.0,2323.2,2016-01-01,
BR,IC1,Marketing,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC1,Finance,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC1,People,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC1,Legal,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC1,Procurement,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC1,Risk & Compliance,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC1,Strategy,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC1,Marketplace Operations,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC1,General Management,BRL,1760.0,2200.0,2640.0,2016-01-01,
BR,IC2,Software Engineering,BRL,2803.68,3504.6,4205.52,2016-01-01,
BR,IC2,Data,BRL,2732.4,3415.5,4098.6,2016-01-01,
BR,IC2,Product Management,BRL,2661.12,3326.4,3991.68,2016-01-01,
BR,IC2,Design,BRL,2494.8,3118.5,3742.2,2016-01-01,
BR,IC2,Store Operations,BRL,2185.92,2732.4,3278.88,2016-01-01,
BR,IC2,Sales,BRL,2376.0,2970.0,3564.0,2016-01-01,
BR,IC2,Logistics,BRL,2376.0,2970.0,3564.0,2016-01-01,
BR,IC2,Warehouse,BRL,2138.4,2673.0,3207.6,2016-01-01,
